Ahmed-ben-'Omar-ben-Mohammed-Aqît-ben-'Omar-ben-'Ali-ben-Yahya-ben-Godâla (El-Hâdj-Ahmed),الصنهاجيّ,التنبكتيّ ,علماً,شهروا,وديناً,الخير,والفضل,والدين,والمروة,والصيانه,والتحرّى,محبًّا,فقيهاً,لغويًّا,نحويًّا,عروضيًّا,محصّالاً,بالعلم,العلم,واجتهد,العلم,درساً,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmed-Baba ,الفقيه,للعلّامة ,العلّامة,الفقيه,الفقيه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anda-Ag-Mohammed,الفقيه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El-Mokhtâr,الفقيه,النحوىّ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khâled-El-Ouaqqâd-El-Azhari,والشيخ,امام,النحو,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahmud,الفقيه,اجلّهم,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdallah-ben-'Omar-ben-Mohammed-Aqît ben-'Omar-ben-'Ali-ben-Yahya,الصنهاجيّ,المسوفيّ,فقيهاً,حافظاً,زاهداً,ورعاً,وليًّا,صالحاً,غاية,الورع,والتوقّى,قويّ الحفظ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahmoud -ben-'Omar-ben-Mohammed-Aqît-ben-'Omar-ben-'Ali-ben-Yahya-ben-Godâla,الصنهاجيّ,التنبكتيّ,قاضيها,ابو,الثناء,وابو,المحاسن,عالم,وصالحها,ومدرّسها,وفقيهها,وامامها,خيار,الصالحين,العارفين,تثبّت,عظيم,وهدى,تامّ,وسكون,ووقار,وجلالة,علمه,وصلاحه,صيته,بركته,ديانة,واصلاح,وزهد,ونزاهة,هابته,سخيًّا,جواداً,القضاء,وشدّد,فاشتهر,عدله,وطلاوة,سهل,الجلالة,وتعظّم,وشهرة,بالصلاح,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibrahim-El-Moqadessi,السادة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zakariya,السادة,والشيخ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El-Qalqachandi ,السادة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibn-Hadjar,الصحاب,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammed,القضاة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El-'Aqib ,القضاة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omar ,القضاة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makhlouf-ben-'Ali-ben-Sâlih-El-Belbâli,فقيه,حافظ رحلة,على العلم,فرغب,الحافظة,العجب,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdallah-ben-'Omar-ben Mohammed-Aqît,سيدي,الصالح,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El-Aqib-El-Ansamanni,الفقيه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammed-ben-Ahmed-ben-'Abou-Mohammed-Et-Tazakhti (Aïda-Ahmed),فقيهاً,عالماً,فهّاماً,محدّثاً,متفنّناً4,محصّلاً جيّد الخطّ,حسن الفهم,المنازعة,وحصّل, المحدثّين,قضاءها,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El-Hâdj-Ahmed-ben-'Omar,الفقيه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'Ali,الفقيه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El-Moghili ,الامام,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahmud (2),سيّدنا,الفقيه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zakariya (2),اجلّاء,كشيخ الاسلام,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El-Qalqachandi,والبرهانين,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdelhaq-Es-Soubâți ,والبرهانين,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
En-Nuairi,ابو البركات,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammed-ben-Mahmoud-ben-'Omar-ben-Mohammed-Aqît-ben-'Omar-ben-'Ali-ben-Yahya,الصنهاجيّ,قاضى,فقيهاً,فهّاماً,درّاكاً,ثاقب,الذهن,عقلاء,الناس,ودهانهم,القضاء,ورياسة,دنيا,المنطق,البيان,والمنطق,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
