Murimagha-Kankoi,فقيهاً,عالماً,صالحاً,عابداً,جليل,القدر,,,,
Mohammed-Foudiki-Sanou-El-Ouankori,فودى,الفقيه,فقيهاً,عالماً,عابداً,صالحاً,وليًّا,الشيخ,لاوليائه,الصالحين
Mohammed-ben-Omar-ben-Mohammed-Aqit,ولّى الله,الفقيه,سيّدى,قضاء,قاض,الخطيب,,,,
El- ' Abbas-Kibi,القاضى,فقيهاً,عالماً,جليلاً,فاضلاً,خيراً,سخياً,,,
Mahmoud-ben-Abou-Bekr-Baghyo ' o,القاضى,فقيهاً,عالماً,جليلاً,القضاء,,,,,
Mohammed-Baghyo ' o,العالمين,الفاضلين,الفقيه,,,,,,,
Ahmed-Baghyo ' o,العالمين,الفاضلين,الفقيه,,,,,,,
Ahmed-Torfo,القاضى,خطيباً,امام,قاضياً,,,,,,
Omar-Torfo ',القاضى,,,,,,,,,
Mama,الخطيب,الخطيبية,,,,,,,,
Yahya,والامام,امامة,,,,,,,,
Mouaddib-Bokar-Terouari,والقاضى,القضاء,القاضى,القاضى,,,,,,
Mohammed-Benba-Kenâti,القاضى,فقيهاً,عالماً,جليلاً,القضاء,القضاة,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
