Mohammed El-Kabari,الشيخ,العالم,الفاضل,الصالح,الولي,ذى,الكرامات,والعجائب,الفقيه,القاضى,,,,,
El-Hâdj,الفقيه,القاضى,السيد,المبارك,,,,,,,,,,,
Abderrahman-ben-Abou-Bekr-ben-El-Hâdj,القاضى,,,,,,,,,,,,,,
Ibrahim (1),السيد,الفقيه,,,,,,,,,,,,,
El-Amin-ben-Ahm,شيخ,الفاضل,الزاهد,الفقيه,,,,,,,,,,,
Omar (1),والى الله تعالى,الفقيه,القاضى,الصالحين,عباد الله,الفقيه,القاضى,,,,,,,,
Ibrahim (2),والى الله تعالى,الفقيه,الصالحين,عباد الله,,,,,,,,,,,
Mahmoud (1),القاضى,الفقيه,الفقيه,شيخ الإسلام,ابو,البركات,الفقيه,القاضى,,,,,,,
Abu-Abdullah-Anda-Ag-Mohammed-ben-Nouh,الفقيه,معدن,العلم,والفضل,والصلاح,عالم,جليل,قاضى,القضاء,,,,,,
Ahmed-Baba,العلامة,الفقيه,الفقيه,,,,,,,,,,,,
Omar (2),فقياً,عالماً,صالحاً,,,,,,,,,,,,
Mouaddib-Mohammed-El-Kabari,الفقيه,الصالح,القاضى,,,,,,,,,,,,
El-Mokhtâr (ben-Anda-Ag-Mohammed?),الفقيه,النحوي,العالم,النحوي,الفقيه,,,,,,,,,,
Yahya-Et-Tâdelsi,الفقيه,العالم,القطب,ولي الله تعالى ,سيد,,,,,,,,,,
Abderrahman,عالم,النقى,الحليم,,,,,,,,,,,,
Abu-Abbâs-Ahmed-Boryo-ben-Ahmed-ben-Anda-Ag-Mohammed,العالم,النقي,المقال,المتواضع,,,,,,,,,,,
Abu-Abdullah-Anda-Ag-Mohammed,امام,عالم,تقي,ورع,متواضع,واثق,شهير,علم,مادح,الامام,مسرد,,,,
Abu-Abdullah-Mohammed,المادح,مسرد,,,,,,,,,,,,,
El-Mokhtâr-ben-Mohammed,الفقيه,المادح,شيخ,المدّاحين,,,,,,,,,,,
El-Mokhtar-ben-Anda-Ag-Mohammed,النحوى,الفقيه,,,,,,,,,,,,,
Mohammed-San,الفقيه,والوقار,فاضلاً,نقياً,زاهداً,ورعاً,,,,,,,,,
Anda-Ag-Mohammed (the Great/Elder),الفقيه,الفقيه,الامام,المبارك,الفقه,الفقيه,الشيخ,المبارك,الفقيه,,,,,,
Anda-Ag-Mohammed (1),الفقيه,الامام,الفقيه,الامام,,,,,,,,,,,
Mohammed-Qarayenki ,الفقيه,القاضى,,,,,,,,,,,,,
Sidi Ahmed,سيد,الفقيه,القاضى,,,,,,,,,,,,
Anda-Ag-Mohammed (2),الفقيه,,,,,,,,,,,,,,
Anda-Ag-Mohammed-ben-Ahmed-ben-Boryo-ben-Ahmed,الفقيه,,,,,,,,,,,,,,
